PROGRAM_LABEL,NAME,CODE,TOTAL_UNITS
PH,CO ARCHULETA COUNTY,8007,0
VO,CO BACA COUNTY,8009,-1
MR,CO BACA COUNTY,8009,-1
All HUD,CO BACA COUNTY,8009,-1
MF/Other,CO BACA COUNTY,8009,0
S8 NC/SR,CO BACA COUNTY,8009,50
S236,CO BACA COUNTY,8009,0
PH,CO BACA COUNTY,8009,0
MR,CO BENT COUNTY,8011,-1
VO,CO BENT COUNTY,8011,-1
All HUD,CO BENT COUNTY,8011,-1
S236,CO BENT COUNTY,8011,0
MF/Other,CO BENT COUNTY,8011,0
S8 NC/SR,CO BENT COUNTY,8011,18
PH,CO BENT COUNTY,8011,0
VO,CO BOULDER COUNTY,8013,-1
MR,CO BOULDER COUNTY,8013,-1
MF/Other,CO BOULDER COUNTY,8013,126
S236,CO BOULDER COUNTY,8013,292
S8 NC/SR,CO BOULDER COUNTY,8013,398
All HUD,CO BOULDER COUNTY,8013,-1
PH,CO BOULDER COUNTY,8013,451
VO,CO CHAFFEE COUNTY,8015,-1
MR,CO CHAFFEE COUNTY,8015,-1
MF/Other,CO CHAFFEE COUNTY,8015,0
S236,CO CHAFFEE COUNTY,8015,0
All HUD,CO CHAFFEE COUNTY,8015,-1
S8 NC/SR,CO CHAFFEE COUNTY,8015,40
PH,CO CHAFFEE COUNTY,8015,50
MR,CO CHEYENNE COUNTY,8017,-1
VO,CO CHEYENNE COUNTY,8017,-1
MF/Other,CO CHEYENNE COUNTY,8017,0
All HUD,CO CHEYENNE COUNTY,8017,-1
S236,CO CHEYENNE COUNTY,8017,0
S8 NC/SR,CO CHEYENNE COUNTY,8017,0
PH,CO CHEYENNE COUNTY,8017,25
VO,CO CLEAR CREEK COUNTY,8019,-1
MR,CO CLEAR CREEK COUNTY,8019,-1
All HUD,CO CLEAR CREEK COUNTY,8019,-1
S8 NC/SR,CO CLEAR CREEK COUNTY,8019,0
S236,CO CLEAR CREEK COUNTY,8019,0
MF/Other,CO CLEAR CREEK COUNTY,8019,0
PH,CO CLEAR CREEK COUNTY,8019,0
MR,CO CONEJOS COUNTY,8021,-1
VO,CO CONEJOS COUNTY,8021,-1
All HUD,CO CONEJOS COUNTY,8021,-1
S8 NC/SR,CO CONEJOS COUNTY,8021,26
S236,CO CONEJOS COUNTY,8021,0
MF/Other,CO CONEJOS COUNTY,8021,0
PH,CO CONEJOS COUNTY,8021,73
MR,CO COSTILLA COUNTY,8023,-1
VO,CO COSTILLA COUNTY,8023,-1
S8 NC/SR,CO COSTILLA COUNTY,8023,0
S236,CO COSTILLA COUNTY,8023,0
MF/Other,CO COSTILLA COUNTY,8023,0
All HUD,CO COSTILLA COUNTY,8023,-1
PH,CO COSTILLA COUNTY,8023,57
MR,CO CROWLEY COUNTY,8025,-1
VO,CO CROWLEY COUNTY,8025,-1
All HUD,CO CROWLEY COUNTY,8025,-1
MF/Other,CO CROWLEY COUNTY,8025,0
S8 NC/SR,CO CROWLEY COUNTY,8025,28
S236,CO CROWLEY COUNTY,8025,0
PH,CO CROWLEY COUNTY,8025,0
MR,CO CUSTER COUNTY,8027,-1
VO,CO CUSTER COUNTY,8027,-1
MF/Other,CO CUSTER COUNTY,8027,0
S8 NC/SR,CO CUSTER COUNTY,8027,0
S236,CO CUSTER COUNTY,8027,0
All HUD,CO CUSTER COUNTY,8027,-1
PH,CO CUSTER COUNTY,8027,0
VO,CO DELTA COUNTY,8029,-1
MR,CO DELTA COUNTY,8029,-1
S236,CO DELTA COUNTY,8029,0
MF/Other,CO DELTA COUNTY,8029,41
All HUD,CO DELTA COUNTY,8029,-1
S8 NC/SR,CO DELTA COUNTY,8029,0
PH,CO DELTA COUNTY,8029,75
MR,CO DENVER COUNTY,8031,-1
VO,CO DENVER COUNTY,8031,-1
MF/Other,CO DENVER COUNTY,8031,1414
S8 NC/SR,CO DENVER COUNTY,8031,3601
S236,CO DENVER COUNTY,8031,2167
All HUD,CO DENVER COUNTY,8031,-1
PH,CO DENVER COUNTY,8031,3734
MR,CO DOLORES COUNTY,8033,-1
VO,CO DOLORES COUNTY,8033,-1
S8 NC/SR,CO DOLORES COUNTY,8033,0
MF/Other,CO DOLORES COUNTY,8033,0
S236,CO DOLORES COUNTY,8033,0
All HUD,CO DOLORES COUNTY,8033,-1
PH,CO DOLORES COUNTY,8033,0
VO,CO DOUGLAS COUNTY,8035,-1
MR,CO DOUGLAS COUNTY,8035,-1
MF/Other,CO DOUGLAS COUNTY,8035,0
S236,CO DOUGLAS COUNTY,8035,0
S8 NC/SR,CO DOUGLAS COUNTY,8035,53
All HUD,CO DOUGLAS COUNTY,8035,-1
PH,CO DOUGLAS COUNTY,8035,0
MR,CO EAGLE COUNTY,8037,-1
VO,CO EAGLE COUNTY,8037,-1
MF/Other,CO EAGLE COUNTY,8037,0
S8 NC/SR,CO EAGLE COUNTY,8037,73
All HUD,CO EAGLE COUNTY,8037,-1
S236,CO EAGLE COUNTY,8037,0
PH,CO EAGLE COUNTY,8037,0
MR,CO ELBERT COUNTY,8039,-1
VO,CO ELBERT COUNTY,8039,-1
All HUD,CO ELBERT COUNTY,8039,-1
S8 NC/SR,CO ELBERT COUNTY,8039,0
S236,CO ELBERT COUNTY,8039,0
MF/Other,CO ELBERT COUNTY,8039,0
PH,CO ELBERT COUNTY,8039,0
VO,CO EL PASO COUNTY,8041,-1
MR,CO EL PASO COUNTY,8041,-1
S8 NC/SR,CO EL PASO COUNTY,8041,709
S236,CO EL PASO COUNTY,8041,200
MF/Other,CO EL PASO COUNTY,8041,360
All HUD,CO EL PASO COUNTY,8041,-1
PH,CO EL PASO COUNTY,8041,747
MR,CO FREMONT COUNTY,8043,-1
VO,CO FREMONT COUNTY,8043,-1
S8 NC/SR,CO FREMONT COUNTY,8043,146
S236,CO FREMONT COUNTY,8043,0
MF/Other,CO FREMONT COUNTY,8043,0
All HUD,CO FREMONT COUNTY,8043,-1
PH,CO FREMONT COUNTY,8043,0
MR,CO GARFIELD COUNTY,8045,-1
VO,CO GARFIELD COUNTY,8045,-1
All HUD,CO GARFIELD COUNTY,8045,-1
S8 NC/SR,CO GARFIELD COUNTY,8045,172
S236,CO GARFIELD COUNTY,8045,42
MF/Other,CO GARFIELD COUNTY,8045,120
PH,CO GARFIELD COUNTY,8045,0
VO,CO GILPIN COUNTY,8047,-1
MR,CO GILPIN COUNTY,8047,-1
All HUD,CO GILPIN COUNTY,8047,-1
MF/Other,CO GILPIN COUNTY,8047,0
S236,CO GILPIN COUNTY,8047,0
S8 NC/SR,CO GILPIN COUNTY,8047,0
PH,CO GILPIN COUNTY,8047,0
VO,CO GRAND COUNTY,8049,-1
MR,CO GRAND COUNTY,8049,-1
S236,CO GRAND COUNTY,8049,0
MF/Other,CO GRAND COUNTY,8049,0
S8 NC/SR,CO GRAND COUNTY,8049,20
All HUD,CO GRAND COUNTY,8049,-1
PH,CO GRAND COUNTY,8049,0
VO,CO GUNNISON COUNTY,8051,-1
MR,CO GUNNISON COUNTY,8051,-1
S8 NC/SR,CO GUNNISON COUNTY,8051,28
MF/Other,CO GUNNISON COUNTY,8051,0
All HUD,CO GUNNISON COUNTY,8051,-1
S236,CO GUNNISON COUNTY,8051,0
PH,CO GUNNISON COUNTY,8051,0
VO,CO HINSDALE COUNTY,8053,-1
MR,CO HINSDALE COUNTY,8053,-1
S236,CO HINSDALE COUNTY,8053,0
MF/Other,CO HINSDALE COUNTY,8053,0
S8 NC/SR,CO HINSDALE COUNTY,8053,0
All HUD,CO HINSDALE COUNTY,8053,-1
PH,CO HINSDALE COUNTY,8053,0
MR,CO HUERFANO COUNTY,8055,-1
VO,CO HUERFANO COUNTY,8055,-1
All HUD,CO HUERFANO COUNTY,8055,-1
S236,CO HUERFANO COUNTY,8055,0
MF/Other,CO HUERFANO COUNTY,8055,4
S8 NC/SR,CO HUERFANO COUNTY,8055,0
PH,CO HUERFANO COUNTY,8055,129
MR,CO JACKSON COUNTY,8057,-1
VO,CO JACKSON COUNTY,8057,-1
All HUD,CO JACKSON COUNTY,8057,-1
S8 NC/SR,CO JACKSON COUNTY,8057,0
S236,CO JACKSON COUNTY,8057,0
MF/Other,CO JACKSON COUNTY,8057,0
PH,CO JACKSON COUNTY,8057,0
MR,CO JEFFERSON COUNTY,8059,-1
VO,CO JEFFERSON COUNTY,8059,-1
All HUD,CO JEFFERSON COUNTY,8059,-1
S8 NC/SR,CO JEFFERSON COUNTY,8059,1053
S236,CO JEFFERSON COUNTY,8059,0
MF/Other,CO JEFFERSON COUNTY,8059,67
PH,CO JEFFERSON COUNTY,8059,224
MR,CO KIOWA COUNTY,8061,-1
VO,CO KIOWA COUNTY,8061,-1
S8 NC/SR,CO KIOWA COUNTY,8061,10
S236,CO KIOWA COUNTY,8061,0
All HUD,CO KIOWA COUNTY,8061,-1
MF/Other,CO KIOWA COUNTY,8061,0
PH,CO KIOWA COUNTY,8061,0
MR,CO KIT CARSON COUNTY,8063,-1
VO,CO KIT CARSON COUNTY,8063,-1
All HUD,CO KIT CARSON COUNTY,8063,-1
S8 NC/SR,CO KIT CARSON COUNTY,8063,12
S236,CO KIT CARSON COUNTY,8063,0
MF/Other,CO KIT CARSON COUNTY,8063,54
PH,CO KIT CARSON COUNTY,8063,31
VO,CO LAKE COUNTY,8065,-1
MR,CO LAKE COUNTY,8065,-1
S8 NC/SR,CO LAKE COUNTY,8065,52
S236,CO LAKE COUNTY,8065,0
All HUD,CO LAKE COUNTY,8065,-1
MF/Other,CO LAKE COUNTY,8065,162
PH,CO LAKE COUNTY,8065,0
MR,CO LA PLATA COUNTY,8067,-1
VO,CO LA PLATA COUNTY,8067,-1
MF/Other,CO LA PLATA COUNTY,8067,97
All HUD,CO LA PLATA COUNTY,8067,-1
S8 NC/SR,CO LA PLATA COUNTY,8067,98
S236,CO LA PLATA COUNTY,8067,0
PH,CO LA PLATA COUNTY,8067,0
VO,CO LARIMER COUNTY,8069,-1
MR,CO LARIMER COUNTY,8069,-1
S236,CO LARIMER COUNTY,8069,256
MF/Other,CO LARIMER COUNTY,8069,135
All HUD,CO LARIMER COUNTY,8069,-1
S8 NC/SR,CO LARIMER COUNTY,8069,457
PH,CO LARIMER COUNTY,8069,276
MR,CO LAS ANIMAS COUNTY,8071,-1
VO,CO LAS ANIMAS COUNTY,8071,-1
All HUD,CO LAS ANIMAS COUNTY,8071,-1
S8 NC/SR,CO LAS ANIMAS COUNTY,8071,66
S236,CO LAS ANIMAS COUNTY,8071,0
MF/Other,CO LAS ANIMAS COUNTY,8071,64
PH,CO LAS ANIMAS COUNTY,8071,216
VO,CO LINCOLN COUNTY,8073,-1
MR,CO LINCOLN COUNTY,8073,-1
S8 NC/SR,CO LINCOLN COUNTY,8073,20
S236,CO LINCOLN COUNTY,8073,0
MF/Other,CO LINCOLN COUNTY,8073,0
All HUD,CO LINCOLN COUNTY,8073,-1
PH,CO LINCOLN COUNTY,8073,40
VO,CO LOGAN COUNTY,8075,-1
MR,CO LOGAN COUNTY,8075,-1
S236,CO LOGAN COUNTY,8075,0
All HUD,CO LOGAN COUNTY,8075,-1
S8 NC/SR,CO LOGAN COUNTY,8075,111
MF/Other,CO LOGAN COUNTY,8075,0
PH,CO LOGAN COUNTY,8075,110
VO,CO MESA COUNTY,8077,-1
MR,CO MESA COUNTY,8077,-1
S8 NC/SR,CO MESA COUNTY,8077,663
MF/Other,CO MESA COUNTY,8077,428
S236,CO MESA COUNTY,8077,132
All HUD,CO MESA COUNTY,8077,-1
PH,CO MESA COUNTY,8077,30
MR,CO MINERAL COUNTY,8079,-1
VO,CO MINERAL COUNTY,8079,-1
MF/Other,CO MINERAL COUNTY,8079,0
S8 NC/SR,CO MINERAL COUNTY,8079,0
All HUD,CO MINERAL COUNTY,8079,-1
S236,CO MINERAL COUNTY,8079,0
PH,CO MINERAL COUNTY,8079,0
MR,CO MOFFAT COUNTY,8081,-1
VO,CO MOFFAT COUNTY,8081,-1
All HUD,CO MOFFAT COUNTY,8081,-1
MF/Other,CO MOFFAT COUNTY,8081,120
S8 NC/SR,CO MOFFAT COUNTY,8081,88
S236,CO MOFFAT COUNTY,8081,0
PH,CO MOFFAT COUNTY,8081,0
MR,CO MONTEZUMA COUNTY,8083,-1
VO,CO MONTEZUMA COUNTY,8083,-1
MF/Other,CO MONTEZUMA COUNTY,8083,0
S8 NC/SR,CO MONTEZUMA COUNTY,8083,138
All HUD,CO MONTEZUMA COUNTY,8083,-1
S236,CO MONTEZUMA COUNTY,8083,0
PH,CO MONTEZUMA COUNTY,8083,31
VO,CO MONTROSE COUNTY,8085,-1
MR,CO MONTROSE COUNTY,8085,-1
All HUD,CO MONTROSE COUNTY,8085,-1
S8 NC/SR,CO MONTROSE COUNTY,8085,210
S236,CO MONTROSE COUNTY,8085,0
MF/Other,CO MONTROSE COUNTY,8085,82
PH,CO MONTROSE COUNTY,8085,0
MR,CO MORGAN COUNTY,8087,-1
VO,CO MORGAN COUNTY,8087,-1
All HUD,CO MORGAN COUNTY,8087,-1
MF/Other,CO MORGAN COUNTY,8087,0
S236,CO MORGAN COUNTY,8087,96
S8 NC/SR,CO MORGAN COUNTY,8087,74
PH,CO MORGAN COUNTY,8087,116
MR,CO OTERO COUNTY,8089,-1
VO,CO OTERO COUNTY,8089,-1
MF/Other,CO OTERO COUNTY,8089,81
S236,CO OTERO COUNTY,8089,0
S8 NC/SR,CO OTERO COUNTY,8089,182
All HUD,CO OTERO COUNTY,8089,-1
PH,CO OTERO COUNTY,8089,86
VO,CO OURAY COUNTY,8091,-1
MR,CO OURAY COUNTY,8091,-1
S236,CO OURAY COUNTY,8091,0
MF/Other,CO OURAY COUNTY,8091,0
S8 NC/SR,CO OURAY COUNTY,8091,0
All HUD,CO OURAY COUNTY,8091,-1
PH,CO OURAY COUNTY,8091,0
VO,CO PARK COUNTY,8093,-1
MR,CO PARK COUNTY,8093,-1
S236,CO PARK COUNTY,8093,0
All HUD,CO PARK COUNTY,8093,-1
MF/Other,CO PARK COUNTY,8093,0
S8 NC/SR,CO PARK COUNTY,8093,0
PH,CO PARK COUNTY,8093,0
MR,CO PHILLIPS COUNTY,8095,-1
VO,CO PHILLIPS COUNTY,8095,-1
S8 NC/SR,CO PHILLIPS COUNTY,8095,12
S236,CO PHILLIPS COUNTY,8095,0
All HUD,CO PHILLIPS COUNTY,8095,-1
MF/Other,CO PHILLIPS COUNTY,8095,0
PH,CO PHILLIPS COUNTY,8095,52
VO,CO PITKIN COUNTY,8097,-1
MR,CO PITKIN COUNTY,8097,-1
All HUD,CO PITKIN COUNTY,8097,-1
S8 NC/SR,CO PITKIN COUNTY,8097,0
S236,CO PITKIN COUNTY,8097,0
MF/Other,CO PITKIN COUNTY,8097,0
PH,CO PITKIN COUNTY,8097,0
VO,CO PROWERS COUNTY,8099,-1
MR,CO PROWERS COUNTY,8099,-1
All HUD,CO PROWERS COUNTY,8099,-1
MF/Other,CO PROWERS COUNTY,8099,0
S8 NC/SR,CO PROWERS COUNTY,8099,100
S236,CO PROWERS COUNTY,8099,0
PH,CO PROWERS COUNTY,8099,46
VO,CO PUEBLO COUNTY,8101,-1
MR,CO PUEBLO COUNTY,8101,-1
MF/Other,CO PUEBLO COUNTY,8101,226
S8 NC/SR,CO PUEBLO COUNTY,8101,382
S236,CO PUEBLO COUNTY,8101,130
All HUD,CO PUEBLO COUNTY,8101,-1
PH,CO PUEBLO COUNTY,8101,900
VO,CO RIO BLANCO COUNTY,8103,-1
MR,CO RIO BLANCO COUNTY,8103,-1
All HUD,CO RIO BLANCO COUNTY,8103,-1
S236,CO RIO BLANCO COUNTY,8103,0
MF/Other,CO RIO BLANCO COUNTY,8103,0
S8 NC/SR,CO RIO BLANCO COUNTY,8103,36
PH,CO RIO BLANCO COUNTY,8103,0
VO,CO RIO GRANDE COUNTY,8105,-1
MR,CO RIO GRANDE COUNTY,8105,-1
S8 NC/SR,CO RIO GRANDE COUNTY,8105,85
S236,CO RIO GRANDE COUNTY,8105,0
MF/Other,CO RIO GRANDE COUNTY,8105,0
All HUD,CO RIO GRANDE COUNTY,8105,-1
PH,CO RIO GRANDE COUNTY,8105,0
MR,CO ROUTT COUNTY,8107,-1
VO,CO ROUTT COUNTY,8107,-1
MF/Other,CO ROUTT COUNTY,8107,0
All HUD,CO ROUTT COUNTY,8107,-1
S236,CO ROUTT COUNTY,8107,0
S8 NC/SR,CO ROUTT COUNTY,8107,14
PH,CO ROUTT COUNTY,8107,0
VO,CO SAGUACHE COUNTY,8109,-1
MR,CO SAGUACHE COUNTY,8109,-1
S8 NC/SR,CO SAGUACHE COUNTY,8109,22
S236,CO SAGUACHE COUNTY,8109,0
MF/Other,CO SAGUACHE COUNTY,8109,0
All HUD,CO SAGUACHE COUNTY,8109,-1
PH,CO SAGUACHE COUNTY,8109,30
VO,CO SAN JUAN COUNTY,8111,-1
MR,CO SAN JUAN COUNTY,8111,-1
S8 NC/SR,CO SAN JUAN COUNTY,8111,0
S236,CO SAN JUAN COUNTY,8111,0
MF/Other,CO SAN JUAN COUNTY,8111,0
All HUD,CO SAN JUAN COUNTY,8111,-1
PH,CO SAN JUAN COUNTY,8111,0
MR,CO SAN MIGUEL COUNTY,8113,-1
VO,CO SAN MIGUEL COUNTY,8113,-1
S236,CO SAN MIGUEL COUNTY,8113,0
All HUD,CO SAN MIGUEL COUNTY,8113,-1
MF/Other,CO SAN MIGUEL COUNTY,8113,0
S8 NC/SR,CO SAN MIGUEL COUNTY,8113,0
PH,CO SAN MIGUEL COUNTY,8113,0
VO,CO SEDGWICK COUNTY,8115,-1
MR,CO SEDGWICK COUNTY,8115,-1
All HUD,CO SEDGWICK COUNTY,8115,-1
S236,CO SEDGWICK COUNTY,8115,0
MF/Other,CO SEDGWICK COUNTY,8115,0
S8 NC/SR,CO SEDGWICK COUNTY,8115,0
PH,CO SEDGWICK COUNTY,8115,52
VO,CO SUMMIT COUNTY,8117,-1
MR,CO SUMMIT COUNTY,8117,-1
All HUD,CO SUMMIT COUNTY,8117,-1
MF/Other,CO SUMMIT COUNTY,8117,0
S8 NC/SR,CO SUMMIT COUNTY,8117,0
S236,CO SUMMIT COUNTY,8117,0
PH,CO SUMMIT COUNTY,8117,0
VO,CO TELLER COUNTY,8119,-1
MR,CO TELLER COUNTY,8119,-1
MF/Other,CO TELLER COUNTY,8119,0
S236,CO TELLER COUNTY,8119,0
S8 NC/SR,CO TELLER COUNTY,8119,0
All HUD,CO TELLER COUNTY,8119,-1
PH,CO TELLER COUNTY,8119,0
MR,CO WASHINGTON COUNTY,8121,-1
VO,CO WASHINGTON COUNTY,8121,-1
All HUD,CO WASHINGTON COUNTY,8121,-1
S236,CO WASHINGTON COUNTY,8121,0
S8 NC/SR,CO WASHINGTON COUNTY,8121,20
MF/Other,CO WASHINGTON COUNTY,8121,0
PH,CO WASHINGTON COUNTY,8121,0
MR,CO WELD COUNTY,8123,-1
VO,CO WELD COUNTY,8123,-1
S236,CO WELD COUNTY,8123,0
MF/Other,CO WELD COUNTY,8123,500
S8 NC/SR,CO WELD COUNTY,8123,588
All HUD,CO WELD COUNTY,8123,-1
PH,CO WELD COUNTY,8123,176
VO,CO YUMA COUNTY,8125,-1
MR,CO YUMA COUNTY,8125,-1
MF/Other,CO YUMA COUNTY,8125,0
S236,CO YUMA COUNTY,8125,0
All HUD,CO YUMA COUNTY,8125,-1
S8 NC/SR,CO YUMA COUNTY,8125,20
PH,CO YUMA COUNTY,8125,91
VO,CO NO COUNTY CODE,8999,-1
MR,CO NO COUNTY CODE,8999,-1
S8 NC/SR,CO NO COUNTY CODE,8999,0
All HUD,CO NO COUNTY CODE,8999,-1
MF/Other,CO NO COUNTY CODE,8999,0
S236,CO NO COUNTY CODE,8999,0
PH,CO NO COUNTY CODE,8999,0
VO,CT FAIRFIELD COUNTY,9001,-1
MR,CT FAIRFIELD COUNTY,9001,-1
S236,CT FAIRFIELD COUNTY,9001,825
S8 NC/SR,CT FAIRFIELD COUNTY,9001,3793
MF/Other,CT FAIRFIELD COUNTY,9001,1307
All HUD,CT FAIRFIELD COUNTY,9001,-1
PH,CT FAIRFIELD COUNTY,9001,5029
VO,CT HARTFORD COUNTY,9003,-1
MR,CT HARTFORD COUNTY,9003,-1
All HUD,CT HARTFORD COUNTY,9003,-1
S8 NC/SR,CT HARTFORD COUNTY,9003,5139
S236,CT HARTFORD COUNTY,9003,1955
MF/Other,CT HARTFORD COUNTY,9003,3000
PH,CT HARTFORD COUNTY,9003,3808
MR,CT LITCHFIELD COUNTY,9005,-1
VO,CT LITCHFIELD COUNTY,9005,-1
MF/Other,CT LITCHFIELD COUNTY,9005,579
All HUD,CT LITCHFIELD COUNTY,9005,-1
S8 NC/SR,CT LITCHFIELD COUNTY,9005,225
S236,CT LITCHFIELD COUNTY,9005,212
PH,CT LITCHFIELD COUNTY,9005,378
VO,CT MIDDLESEX COUNTY,9007,-1
MR,CT MIDDLESEX COUNTY,9007,-1
MF/Other,CT MIDDLESEX COUNTY,9007,722
S236,CT MIDDLESEX COUNTY,9007,543
S8 NC/SR,CT MIDDLESEX COUNTY,9007,380
All HUD,CT MIDDLESEX COUNTY,9007,-1
PH,CT MIDDLESEX COUNTY,9007,281
VO,CT NEW HAVEN COUNTY,9009,-1
MR,CT NEW HAVEN COUNTY,9009,-1
S236,CT NEW HAVEN COUNTY,9009,1954
S8 NC/SR,CT NEW HAVEN COUNTY,9009,4988
MF/Other,CT NEW HAVEN COUNTY,9009,3345
All HUD,CT NEW HAVEN COUNTY,9009,-1
PH,CT NEW HAVEN COUNTY,9009,5052
VO,CT NEW LONDON COUNTY,9011,-1
MR,CT NEW LONDON COUNTY,9011,-1
S8 NC/SR,CT NEW LONDON COUNTY,9011,1232
All HUD,CT NEW LONDON COUNTY,9011,-1
S236,CT NEW LONDON COUNTY,9011,442
MF/Other,CT NEW LONDON COUNTY,9011,991
PH,CT NEW LONDON COUNTY,9011,368
MR,CT TOLLAND COUNTY,9013,-1
VO,CT TOLLAND COUNTY,9013,-1
S8 NC/SR,CT TOLLAND COUNTY,9013,528
All HUD,CT TOLLAND COUNTY,9013,-1
S236,CT TOLLAND COUNTY,9013,0
MF/Other,CT TOLLAND COUNTY,9013,221
PH,CT TOLLAND COUNTY,9013,155
VO,CT WINDHAM COUNTY,9015,-1
MR,CT WINDHAM COUNTY,9015,-1
S236,CT WINDHAM COUNTY,9015,0
S8 NC/SR,CT WINDHAM COUNTY,9015,419
All HUD,CT WINDHAM COUNTY,9015,-1
MF/Other,CT WINDHAM COUNTY,9015,813
PH,CT WINDHAM COUNTY,9015,385
MR,CT NO COUNTY CODE,9999,-1
VO,CT NO COUNTY CODE,9999,-1
S236,CT NO COUNTY CODE,9999,0
MF/Other,CT NO COUNTY CODE,9999,0
All HUD,CT NO COUNTY CODE,9999,-1
S8 NC/SR,CT NO COUNTY CODE,9999,0
PH,CT NO COUNTY CODE,9999,0
MR,DE KENT COUNTY,10001,-1
VO,DE KENT COUNTY,10001,-1
MF/Other,DE KENT COUNTY,10001,275
S8 NC/SR,DE KENT COUNTY,10001,524
S236,DE KENT COUNTY,10001,78
All HUD,DE KENT COUNTY,10001,-1
PH,DE KENT COUNTY,10001,637
MR,DE NEW CASTLE COUNTY,10003,-1
VO,DE NEW CASTLE COUNTY,10003,-1
MF/Other,DE NEW CASTLE COUNTY,10003,1253
S236,DE NEW CASTLE COUNTY,10003,208
All HUD,DE NEW CASTLE COUNTY,10003,-1
S8 NC/SR,DE NEW CASTLE COUNTY,10003,2836
PH,DE NEW CASTLE COUNTY,10003,1857
MR,DE SUSSEX COUNTY,10005,-1
VO,DE SUSSEX COUNTY,10005,-1
S8 NC/SR,DE SUSSEX COUNTY,10005,588
S236,DE SUSSEX COUNTY,10005,0
MF/Other,DE SUSSEX COUNTY,10005,293
All HUD,DE SUSSEX COUNTY,10005,-1
PH,DE SUSSEX COUNTY,10005,156
VO,DE NO COUNTY CODE,10999,-1
MR,DE NO COUNTY CODE,10999,-1
S8 NC/SR,DE NO COUNTY CODE,10999,0
S236,DE NO COUNTY CODE,10999,0
MF/Other,DE NO COUNTY CODE,10999,0
All HUD,DE NO COUNTY CODE,10999,-1
PH,DE NO COUNTY CODE,10999,0
VO,DC DISTRICT OF COLUMBIA,11001,-1
MR,DC DISTRICT OF COLUMBIA,11001,-1
All HUD,DC DISTRICT OF COLUMBIA,11001,-1
MF/Other,DC DISTRICT OF COLUMBIA,11001,6761
S236,DC DISTRICT OF COLUMBIA,11001,2751
S8 NC/SR,DC DISTRICT OF COLUMBIA,11001,5758
PH,DC DISTRICT OF COLUMBIA,11001,7807
VO,DC NO COUNTY CODE,11999,-1
MR,DC NO COUNTY CODE,11999,-1
MF/Other,DC NO COUNTY CODE,11999,0
All HUD,DC NO COUNTY CODE,11999,-1
S8 NC/SR,DC NO COUNTY CODE,11999,0
S236,DC NO COUNTY CODE,11999,0
PH,DC NO COUNTY CODE,11999,0
VO,FL ALACHUA COUNTY,12001,-1
MR,FL ALACHUA COUNTY,12001,-1
S8 NC/SR,FL ALACHUA COUNTY,12001,568
All HUD,FL ALACHUA COUNTY,12001,-1
MF/Other,FL ALACHUA COUNTY,12001,1196
S236,FL ALACHUA COUNTY,12001,0
PH,FL ALACHUA COUNTY,12001,904
VO,FL BAKER COUNTY,12003,-1
MR,FL BAKER COUNTY,12003,-1
S236,FL BAKER COUNTY,12003,0
MF/Other,FL BAKER COUNTY,12003,50
All HUD,FL BAKER COUNTY,12003,-1
S8 NC/SR,FL BAKER COUNTY,12003,52
PH,FL BAKER COUNTY,12003,80
MR,FL BAY COUNTY,12005,-1
VO,FL BAY COUNTY,12005,-1
S8 NC/SR,FL BAY COUNTY,12005,420
MF/Other,FL BAY COUNTY,12005,224
S236,FL BAY COUNTY,12005,182
All HUD,FL BAY COUNTY,12005,-1
PH,FL BAY COUNTY,12005,490
VO,FL BRADFORD COUNTY,12007,-1
MR,FL BRADFORD COUNTY,12007,-1
All HUD,FL BRADFORD COUNTY,12007,-1
MF/Other,FL BRADFORD COUNTY,12007,60
S8 NC/SR,FL BRADFORD COUNTY,12007,46
S236,FL BRADFORD COUNTY,12007,0
PH,FL BRADFORD COUNTY,12007,0
MR,FL BREVARD COUNTY,12009,-1
VO,FL BREVARD COUNTY,12009,-1
S236,FL BREVARD COUNTY,12009,342
MF/Other,FL BREVARD COUNTY,12009,835
S8 NC/SR,FL BREVARD COUNTY,12009,504
All HUD,FL BREVARD COUNTY,12009,-1
PH,FL BREVARD COUNTY,12009,1415
MR,FL BROWARD COUNTY,12011,-1
VO,FL BROWARD COUNTY,12011,-1
All HUD,FL BROWARD COUNTY,12011,-1
S236,FL BROWARD COUNTY,12011,942
MF/Other,FL BROWARD COUNTY,12011,1413
S8 NC/SR,FL BROWARD COUNTY,12011,1193
PH,FL BROWARD COUNTY,12011,1771
MR,FL CALHOUN COUNTY,12013,-1
VO,FL CALHOUN COUNTY,12013,-1
All HUD,FL CALHOUN COUNTY,12013,-1
S8 NC/SR,FL CALHOUN COUNTY,12013,50
S236,FL CALHOUN COUNTY,12013,0
MF/Other,FL CALHOUN COUNTY,12013,0
PH,FL CALHOUN COUNTY,12013,34
MR,FL CHARLOTTE COUNTY,12015,-1
VO,FL CHARLOTTE COUNTY,12015,-1
MF/Other,FL CHARLOTTE COUNTY,12015,66
All HUD,FL CHARLOTTE COUNTY,12015,-1
S8 NC/SR,FL CHARLOTTE COUNTY,12015,247
S236,FL CHARLOTTE COUNTY,12015,120
PH,FL CHARLOTTE COUNTY,12015,30
MR,FL CITRUS COUNTY,12017,-1
VO,FL CITRUS COUNTY,12017,-1
S8 NC/SR,FL CITRUS COUNTY,12017,60
MF/Other,FL CITRUS COUNTY,12017,37
